"word","count","nextWord","phrase"
"he did not",63,"not","he did"
"if there is",63,"is","if there"
"i could have",63,"have","i could"
"a man who",63,"who","a man"
"in which the",63,"the","in which"
"more than one",63,"one","more than"
"those of you",63,"you","those of"
"that they were",63,"were","that they"
"of the story",63,"story","of the"
"that you have",63,"have","that you"
"so you can",63,"can","so you"
"seems to have",63,"have","seems to"
"i was not",63,"not","i was"
"should be a",62,"a","should be"
"years ago i",62,"i","years ago"
"do with the",62,"the","do with"
"just a little",62,"little","just a"
"was a good",62,"good","was a"
"on my way",62,"way","on my"
"in the game",62,"game","in the"
"so much more",62,"more","so much"
"the center of",62,"of","the center"
"had to do",62,"do","had to"
"i'm pretty sure",62,"sure","i'm pretty"
"in and out",62,"out","in and"
"up and down",62,"down","up and"
"would not be",62,"be","would not"
"we went to",62,"to","we went"
"the difference between",62,"between","the difference"
"to all of",62,"of","to all"
"if you do",62,"do","if you"
"you and your",62,"your","you and"
"place in the",62,"the","place in"
"it makes me",62,"me","it makes"
"to be honest",62,"honest","to be"
"are so many",62,"many","are so"
"to see that",62,"that","to see"
"were going to",62,"to","were going"
"a few hours",61,"hours","a few"
"i love my",61,"my","i love"
"a good idea",61,"idea","a good"
"to go on",61,"on","to go"
"that he had",61,"had","that he"
"please follow me",61,"me","please follow"
"a handful of",61,"of","a handful"
"in the area",61,"area","in the"
"but they are",61,"are","but they"
"to find the",61,"the","to find"
"to watch the",61,"the","to watch"
"i'm trying to",61,"to","i'm trying"
"and will be",61,"be","and will"
"an opportunity to",61,"to","an opportunity"
"make sure to",61,"to","make sure"
"fact that i",61,"i","fact that"
"not so much",61,"much","not so"
"will be in",61,"in","will be"
"first time in",61,"in","first time"
"the one who",61,"who","the one"
"he was the",61,"the","he was"
"need to do",61,"do","need to"
"thought i would",61,"would","thought i"
"for us to",61,"to","for us"
"we are not",61,"not","we are"
"for me and",61,"and","for me"
"the first half",61,"half","the first"
"of you who",61,"who","of you"
"but it's not",61,"not","but it's"
"more than the",60,"the","more than"
"come to the",60,"the","come to"
"sounds like a",60,"a","sounds like"
"it seems like",60,"like","it seems"
"make sure that",60,"that","make sure"
"as one of",60,"of","as one"
"i had no",60,"no","i had"
"beginning of the",60,"the","beginning of"
"i know it",60,"it","i know"
"more than million",60,"million","more than"
"to buy a",60,"a","to buy"
